fieldsurfacetype,streetno,sportsplayed,facilityname,numberfieldcourts,facilitycondition,facilityupgradeage,facility_id,postcode,facilityage,streettype,changerooms,longitude,latitude,faciltysportplayedid,objectid,suburbtown,lga,streetname
null,null,BMX,Lilydale BMX Club,null,null,null,YARRAC5444,null,null,Street,null,145.356706,-37.748157,27698,9060,LILYDALE,YARRA RANGES,Anderson
null,115,Fitness / Gymnasium Workouts,Nitro Gym,1,null,null,YARRAR11444,3137,null,Road,null,145.259467,-38.005392,18548,9289,KILSYTH,CASEY,Canterbury
null,null,Tennis (Outdoor),Minak Reserve,4,3. Average,6 - 10 Years,YARRAR11484,3159,26 - 50 Years,Road,null,145.372781,-37.91259,18634,9374,SELBY,YARRA RANGES,Wombalana
null,null,Equestrian,Truganina Club Grounds,null,null,null,HOBSON11346,3029,null,Road,null,144.721688,-37.822483,26854,3952,TRUGANINA,WYNDHAM,Woods
Turf Pitch,null,Cricket,Binnak Park,1,null,null,BANYUL12800,3083,null,Parade,null,145.080915,-37.697332,21290,387,BUNDOORA,BANYULE,Anderson
null,null,Sailing,Cowes Yacht Club,null,null,null,BASSCO11215,3922,null,Avenue,null,145.2334,-38.449021,26756,554,COWES,BASS COAST,Osborne
Synthetic Pitch,null,Cricket,George Woods Reserve,1,null,null,KINGST10946,3195,null,Road,null,145.098379,-38.009212,25460,4383,MORDIALLOC,KINGSTON,Governor
null,52,Gymnastics,Cheltnam Youth Club,null,null,null,KINGST11451,3195,null,Drive,null,145.114716,-37.98977,27332,4433,BRAESIDE,KINGSTON,Tarnard
Wooden Gymnasium,221,Badminton,Deakin YMCA,2,null,null,WHITEH11007,3125,null,Hwy,null,145.116446,-37.84695,25074,8574,BURWOOD,WHITEHORSE,Burwood
Hard Court,null,Tennis (Outdoor),Eley Park,8,3. Average,11 + Years,WHITEH11009,3151,26 - 50 Years,Road,"Female, Male",145.143022,-37.846309,25086,8689,BURWOOD EAST,WHITEHORSE,Eley
Grass,null,Baseball,Marshall Reserve,1,null,null,MONASH12036,3166,null,Road,null,145.138854,-37.912047,19780,6094,HUNTINGDALE,MONASH,Ring East
null,9,Karate,Keenan karate Centre,1,null,null,MONASH12031,3149,null,Road,null,145.114415,-37.856399,19771,6182,MT WAVERLEY,MONASH,Barlyn
null,507-515,Squash / Racquetball,Fitzys Gym,null,null,null,MORELA13022,3055,null,Street,null,144.945367,-37.764936,21862,6548,BRUNSWICK WEST,MORELAND,Victoria
Grass,1562,Baseball,Tyabb Central Reserve,1,null,null,MORNIN11204,3913,null,Road,null,145.188857,-38.262193,18266,6599,TYABB,MORNINGTON PENINSULA,Frankston-Flinders
Road,null,Cycling,Somers Circuit,1,null,null,MORNIN5311,null,null,Road,null,145.16586,-38.389173,27559,6645,null,MORNINGTON PENINSULA,Camphill
null,null,Cycling,Wombat Track,null,null,null,MACEDO5423,null,null,null,null,144.479613,-37.426616,27679,5027,null,MACEDON RANGES,null
null,null,Equestrian,Buck Reserve,null,null,null,MANNIN11361,3111,null,Road,null,145.186757,-37.766492,26888,5152,DONVALE,MANNINGHAM,Reynolds
null,15-May,Fitness / Gymnasium Workouts,Contours Croydon,null,null,null,MAROON11005,3136,null,Avenue,null,145.277689,-37.793582,23181,5434,CROYDON,MAROONDAH,Kent
Synthetic,null,Basketball,Eynesbury Tennis Centre,1,null,null,MELTON10915,3338,null,Road,null,144.562905,-37.76724,24724,5638,EYNESBURY,MELTON,Eynesbury
null,65,Volleyball,Melton Indoor Sports Stadium,null,null,null,MELTON9071,3337,null,Road,null,144.567827,-37.681499,24793,5730,MELTON,MELTON,Reserve
null,null,BMX,Broadford BMX Track,null,null,null,MITCHE11203,3658,null,Parade,null,145.05683,-37.199467,24059,5872,BROADFORD,MITCHELL,The
Hard Court,null,Netball,Werribee Sports & Fitness Centre,5,4. Good,null,WYNDHA8530,3030,null,Road,"Female, Male",144.640316,-37.898601,26686,9001,WERRIBEE,WYNDHAM,Ballan
null,null,Netball (indoor),Hoppers Indoor Sportz,2,null,null,WYNDHA11288,3029,null,Court,null,144.7275,-37.872,26982,9002,HOPPERS CROSSING,WYNDHAM,Graham
Carpet Playing Surface,13,Netball (Indoor),Riverside Indoor Sports,5,null,null,WYNDHA8521,3030,null,Avenue,null,144.659074,-37.913492,26667,9003,WERRIBEE,WYNDHAM,Riverside
null,null,Polo,National Equestrian Centre,2,null,null,WYNDHA8516,3030,null,Road,null,144.67498,-37.924111,26653,9004,WERRIBEE,WYNDHAM,K
null,null,Rugby League,Clearwood Drive Reserve,2,null,New facility under construction,WYNDHA5496,null,0 - 5 Years,Drive,null,144.71783,-37.840037,27809,9005,TRUGANINA,WYNDHAM,Clearwood
null,null,Rugby League,Haines Drive Reserve,2,5. Very Good,null,WYNDHA11000,3024,0 - 5 Years,Road,"Female, Male, Umpire/Officials",144.609389,-37.897069,27810,9006,WYNDHAM VALE,WYNDHAM,Haines
null,null,Rugby Union,Haines Drive Reserve,2,5. Very Good,null,WYNDHA11000,3024,0 - 5 Years,Road,"Female, Male, Umpire/Officials, Unisex",144.609389,-37.897069,26571,9007,WYNDHAM VALE,WYNDHAM,Haines
Grass,null,Rugby Union,Mossfiel Reserve,2,3. Average,N/A,WYNDHA8514,3029,26 - 50 Years,Road,"Umpire/Officials, Unisex",144.692478,-37.877437,26647,9008,HOPPERS CROSSING,WYNDHAM,Heaths
null,null,Shooting Sports,Wyndham Handgun Club,null,null,null,WYNDHA11205,3030,null,Road,null,144.640603,-37.898303,27283,9009,WERRIBEE,WYNDHAM,Ballan
Concrete,null,Skating,Boardwalk Skate Park,1,3. Average,N/A,WYNDHA8492,3030,0 - 5 Years,Boulevard,null,144.735336,-37.880556,26594,9010,POINT COOK,WYNDHAM,Boardwalk
Concrete,null,Skating,Little River Reserve,1,null,null,WYNDHA8512,3211,null,Road,null,144.497406,-37.961417,26640,9011,LITTLE RIVER,WYNDHAM,You Yangs
Concrete,null,Skating,Mossfiel Reserve,1,4. Good,< 1 Years,WYNDHA8514,3029,11 - 25 Years,Road,null,144.692478,-37.877437,26648,9012,HOPPERS CROSSING,WYNDHAM,Heaths
Concrete,null,Skating,Presidents Park,1,3. Average,null,WYNDHA8518,3030,6 - 10 Years,Road,null,144.634572,-37.88181,26658,9013,WERRIBEE,WYNDHAM,McGraths
Grass,null,Soccer,Forsyth Road Reserve,2,5. Very Good,null,WYNDHA10998,3029,0 - 5 Years,Road,"Female, Male, Umpire/Officials, Unisex",144.729419,-37.860804,26567,9014,TRUGANINA,WYNDHAM,Forsyth
Artificial Turf,null,Soccer,Forsyth Road Reserve,1,5. Very Good,null,WYNDHA10998,3029,0 - 5 Years,Road,"Female, Male, Umpire/Officials, Unisex",144.729419,-37.860804,26566,9015,TRUGANINA,WYNDHAM,Forsyth
Grass,null,Soccer,Galvin Park,3,4. Good,Upgrade in progress,WYNDHA8502,3030,11 - 25 Years,Road,"Umpire/Officials, Unisex",144.650409,-37.88706,26619,9016,WERRIBEE,WYNDHAM,Shaws
Grass,null,Soccer,Grange Reserve Soccer Complex,2,5. Very Good,N/A,WYNDHA8505,3029,0 - 5 Years,Road,"Umpire/Officials, Unisex",144.676572,-37.860885,26622,9017,HOPPERS CROSSING,WYNDHAM,Hogans
Artificial Turf,null,Soccer,Grange Reserve Soccer Complex,1,5. Very Good,6 - 10 Years,WYNDHA8505,3029,6 - 10 Years,Road,"Umpire/Officials, Unisex",144.676572,-37.860885,26623,9018,HOPPERS CROSSING,WYNDHAM,Hogans
Artificial Turf,null,Soccer,Saltwater Reserve,3,5. Very Good,null,WYNDHA11003,3030,0 - 5 Years,Road,"Female, Male, Umpire/Officials, Unisex",144.752502,-37.909351,26580,9019,POINT COOK,WYNDHAM,Point Cook
Grass,null,Soccer,Tom Roberts Parade Reserve,2,5. Very Good,null,WYNDHA11004,3030,0 - 5 Years,Parade,"Female, Male, Umpire/Officials, Unisex",144.727529,-37.89401,26583,9020,POINT COOK,WYNDHAM,Tom Robert
Grass,null,Soccer,VU Wyndham Sporting Complex,1,4. Good,< 1 Years,WYNDHA8526,3030,6 - 10 Years,Lane,"Female, Male",144.702157,-37.892629,26677,9021,WERRIBEE,WYNDHAM,Hoppers
Carpet Playing Surface,13,Soccer (Indoor Soccer / Futsal),Riverside Indoor Sports,5,null,null,WYNDHA8521,3030,null,Avenue,null,144.659074,-37.913492,26668,9022,WERRIBEE,WYNDHAM,Riverside
Grass,null,Softball,Laurie Emmins Reserve,1,2. Poor,6 - 10 Years,WYNDHA8511,3026,11 - 25 Years,Road,null,144.764933,-37.852136,26637,9023,LAVERTON NORTH,WYNDHAM,Sayers
Grass,null,Softball,Presidents Park,11,5. Very Good,< 1 Years,WYNDHA8518,3030,6 - 10 Years,Road,"Female, Male",144.634572,-37.88181,26659,9024,WERRIBEE,WYNDHAM,McGraths
"25m Pool - Indoor, Spa/Sauna",116,Swimming,Fenix Fitness Club Hoppers Crossing,null,null,null,WYNDHA8500,3029,null,Drive,null,144.691056,-37.869127,26614,9025,HOPPERS CROSSING,WYNDHAM,Mossfiel
25m Pool - Indoor,35,Swimming,Shawn's Swim School,null,null,null,WYNDHA8523,3029,null,Road,null,144.729,-37.866,26671,9026,HOPPERS CROSSING,WYNDHAM,Richards
"50m Pool - Outdoor, Recreation / Play Water Space, Toddlers Pool",null,Swimming,Werribee Olympic Pool,3,5. Very Good,1 - 5 Years,WYNDHA8528,3030,null,Street,"Female, Male, Unisex",144.651882,-37.906041,26680,9027,WERRIBEE,WYNDHAM,Watton
"50m Pool - Indoor, Recreation / Play Water Space, Rehabilitation Pool, Spa/Sauna, Toddlers Pool",null,Swimming,Wyndham Leisure & Events Centre,5,5. Very Good,null,WYNDHA8533,3029,11 - 25 Years,Road,"Female, Male, Unisex",144.683355,-37.882173,26694,9028,HOPPERS CROSSING,WYNDHAM,Derrimut
null,null,Table Tennis,Werribee Sports & Fitness Centre,5,4. Good,null,WYNDHA8530,3030,null,Road,"Female, Male",144.640316,-37.898601,26687,9029,WERRIBEE,WYNDHAM,Ballan
Hard Court,null,Tennis (Outdoor),Cambridge Reserve,6,4. Good,1 - 5 Years,WYNDHA8494,3029,11 - 25 Years,Drive,"Female, Male",144.675717,-37.871069,26598,9030,HOPPERS CROSSING,WYNDHAM,Barber
Hard Court,null,Tennis (Outdoor),Chirnside Park,2,4. Good,< 1 Years,WYNDHA8495,3030,null,Street,"Female, Male",144.652061,-37.904815,26602,9031,WERRIBEE,WYNDHAM,Watton
Clay,null,Tennis (Outdoor),Chirnside Park,2,4. Good,< 1 Years,WYNDHA8495,3030,null,Street,"Female, Male",144.652061,-37.904815,26603,9032,WERRIBEE,WYNDHAM,Watton
Hard Court,null,Tennis (Outdoor),Galvin Park,8,2. Poor,null,WYNDHA8502,3030,null,Road,"Female, Male",144.650409,-37.88706,26620,9033,WERRIBEE,WYNDHAM,Shaws
null,null,Tennis (Outdoor),Hoppers Crossing Club,2,null,null,WYNDHA8508,3029,null,Drive,null,144.692773,-37.86949,26630,9034,HOPPERS CROSSING,WYNDHAM,Pannam
Hard Court,null,Tennis (Outdoor),Jamieson Way Tennis & Netball Complex,4,4. Good,N/A,WYNDHA8510,3030,0 - 5 Years,Way,"Female, Male",144.748532,-37.896312,26634,9035,POINT COOK,WYNDHAM,Jamieson
Asphalt,null,Tennis (Outdoor),Little River Reserve,2,4. Good,1 - 5 Years,WYNDHA8512,3211,6 - 10 Years,Road,"Umpire/Officials, Unisex",144.497406,-37.961417,26641,9036,LITTLE RIVER,WYNDHAM,You Yangs
Hard Court,null,Tennis (Outdoor),Mossfiel Reserve,6,4. Good,6 - 10 Years,WYNDHA8514,3029,26 - 50 Years,Road,"Female, Male",144.692478,-37.877437,26649,9037,HOPPERS CROSSING,WYNDHAM,Heaths
Hard Court,null,Tennis (Outdoor),Price Reserse,2,3. Average,null,WYNDHA8519,3030,26 - 50 Years,Road,null,144.691765,-37.973368,26662,9038,WERRIBEE,WYNDHAM,Beach
Hard Court,null,Tennis (Outdoor),Saltwater Reserve,8,5. Very Good,null,WYNDHA11003,3030,0 - 5 Years,Road,"Female, Male, Umpire/Officials, Unisex",144.752502,-37.909351,26581,9039,POINT COOK,WYNDHAM,Point Cook
null,null,Tennis (Outdoor),Sanctuary Lakes Golf Club,3,null,null,WYNDHA8522,3030,null,Drive,null,144.762714,-37.896097,26670,9040,POINT COOK,WYNDHAM,Greg Norman
Hard Court,null,Tennis (Outdoor),Werribee Sports & Fitness Centre,4,4. Good,null,WYNDHA8530,3030,null,Road,"Female, Male",144.640316,-37.898601,26688,9041,WERRIBEE,WYNDHAM,Ballan
Hard Court,null,Tennis (Outdoor),Willow Green Park Tennis Courts,2,3. Average,null,WYNDHA8531,3030,6 - 10 Years,Way,null,144.751023,-37.885605,26690,9042,POINT COOK,WYNDHAM,Spindrift
Hard Court,null,Tennis (Outdoor),Wootten Road Reserve,9,5. Very Good,null,WYNDHA11006,3029,0 - 5 Years,Road,"Female, Male, Umpire/Officials, Unisex",144.66,-37.8565,26588,9043,TARNEIT,WYNDHAM,Wootten
Hard Court,null,Tennis (Outdoor),Wyndham Green Tennis Courts,1,3. Average,null,WYNDHA8532,3024,6 - 10 Years,Place,null,144.619546,-37.887244,26691,9044,WYNDHAM VALE,WYNDHAM,Amber
null,null,Tennis (Outdoor),Wyndham Waters,2,null,null,WYNDHA8535,3029,null,Road,null,144.726537,-37.851221,26697,9045,TRUGANINA,WYNDHAM,Sayers
Wooden Flooring,null,Volleyball,Werribee Sports & Fitness Centre,3,4. Good,null,WYNDHA8530,3030,null,Road,"Female, Male",144.640316,-37.898601,26689,9046,WERRIBEE,WYNDHAM,Ballan
Grass Running Track,null,Athletics,Citizen’s Park Oval and Jack Dyer Pavilion,1,2. Poor,11 + Years,YARRAC11007,3121,26 - 50 Years,Street,"Female, Male, Umpire/Officials",145.000351,-37.817218,17807,9047,RICHMOND,YARRA,Gleadell
Synthetic Running Track,null,Athletics,George Knott Athletics Track and Ray Coverdale Pavilion,1,4. Good,1 - 5 Years,YARRAC10978,3068,26 - 50 Years,Road,"Female, Male",145.002319,-37.784205,17767,9048,CLIFTON HILL,YARRA,Heidelberg
Grass,null,Australian Rules Football,Alfred Crescent Oval and Pavilion,1,4. Good,1 - 5 Years,YARRAC10993,3065,0 - 5 Years,Street,"Umpire/Officials, Unisex",144.982377,-37.78753,17789,9049,FITZROY,YARRA,Brunswick
Grass,null,Australian Rules Football,Alphington Park Oval and Pavilion,1,4. Good,1 - 5 Years,YARRAC10967,3067,51 Years +,Road,"Umpire/Officials, Unisex",145.029131,-37.783779,17749,9050,ALPHINGTON,YARRA,Parkview
Grass,null,Australian Rules Football,Citizen’s Park Oval and Jack Dyer Pavilion,1,2. Poor,11 + Years,YARRAC11007,3121,26 - 50 Years,Street,"Female, Male, Umpire/Officials",145.000351,-37.817218,17808,9051,RICHMOND,YARRA,Gleadell
Grass,null,Australian Rules Football,Loughan Oval and Johnson Pavilion,1,3. Average,1 - 5 Years,YARRAC10972,3121,11 - 25 Years,Street,"Umpire/Officials, Unisex",145.020462,-37.828576,17758,9052,BURNLEY,YARRA,Swan
Grass,null,Australian Rules Football,Ramsden Street Oval and Pavilion,1,2. Poor,Upgrade in progress,YARRAC10985,3078,26 - 50 Years,Street,null,145.003111,-37.789873,17779,9053,FAIRFIELD,YARRA,Ramsden
Grass,null,Australian Rules Football,Victoria Park,1,4. Good,< 1 Years,YARRAC10962,3067,51 Years +,Street,"Male, Umpire/Officials",144.996607,-37.79858,17744,9054,ABBOTSFORD,YARRA,Turner
Grass,null,Australian Rules Football,W T Peterson Oval & Edinburgh Gardens Change Rooms,1,4. Good,1 - 5 Years,YARRAC10995,3065,51 Years +,Street,"Umpire/Officials, Unisex",144.982377,-37.78753,17792,9055,FITZROY,YARRA,Brunswick
Wooden Gymnasium,null,Basketball,Collingwood Secondary College,2,3. Average,11 + Years,YARRAC11029,null,11 - 25 Years,Way,null,144.98903,-37.803256,17842,9056,COLLINGWOOD,YARRA,Mc Cutcheon
Wooden Gymnasium,null,Basketball,Fitzroy Secondary  School,1,null,null,YARRAC11032,null,null,Street,null,144.979157,-37.800909,17848,9057,FITZROY,YARRA,Falconer
Wooden Gymnasium,null,Basketball,Melbourne Girls College,2,null,11 + Years,YARRAC11028,null,11 - 25 Years,Boulevard,null,145.012699,-37.82969,17840,9058,BURNLEY,YARRA,Yarra
Wooden Gymnasium,null,Basketball,Princes Hill Seconary College,1,null,null,YARRAC11030,null,null,Strret,null,144.966587,-37.781818,17845,9059,PRINCES HILL,YARRA,Arnold
null,null,Bocce,Edinburgh Gardens Bocce Courts,1,null,null,YARRAC10999,3065,null,Street,null,144.982377,-37.78753,17798,9061,FITZROY,YARRA,Brunswick
null,null,Bocce,Hardy Gallagher Reserve Bocce Courts,3,null,null,YARRAC11006,3054,null,Street,null,144.967058,-37.779197,17806,9062,PRINCESS HILL,YARRA,Park
null,null,Boxing,Melbourne Aboriginal Sport and Recreation Gym,null,3. Average,6 - 10 Years,YARRAC11024,null,26 - 50 Years,Street,null,144.974449,-37.805467,17835,9063,FITZROY,YARRA,Gertrude
null,null,Boxing,Richmond Boxing Club,null,2. Poor,11 + Years,YARRAC11023,null,26 - 50 Years,Street,"Female, Male",145.001525,-37.81838,17833,9064,RICHMOND,YARRA,Gleadell
null,null,Boxing,Stanton Street Hall,null,4. Good,< 1 Years,YARRAC11022,null,26 - 50 Years,Street,null,144.988164,-37.801956,17831,9065,COLLINGWOOD,YARRA,Stanton
null,null,Canoe Polo,Richmond Recreation Centre,null,null,null,YARRAC11013,3121,null,Street,null,145.002381,-37.817688,17818,9066,RICHMOND,YARRA,Gleadell
null,9,Canoeing,Fairfield Canoe Club,null,null,null,YARRAC11026,null,null,null,null,145.018759,-37.785639,17838,9067,FAIRFIELD,YARRA,The Esplanade
null,null,Canoeing,Fairfield Park Canoe Facility,null,2. Poor,11 + Years,YARRAC11027,null,26 - 50 Years,Street,null,145.004222,-37.78437,17839,9068,FAIRFIELD,DAREBIN,Heidelberg
Synthetic Pitch,null,Cricket,Alan Bain Reserve and Pavilion,1,4. Good,1 - 5 Years,YARRAC10983,3121,11 - 25 Years,Street,"Umpire/Officials, Unisex",145.001134,-37.830218,17775,9069,CREMORNE,YARRA,Church
Synthetic Pitch,null,Cricket,Alfred Crescent Oval and Pavilion,1,4. Good,1 - 5 Years,YARRAC10993,3065,0 - 5 Years,Street,"Umpire/Officials, Unisex",144.982377,-37.78753,17790,9070,FITZROY,YARRA,Brunswick
Synthetic Pitch,null,Cricket,Alphington Park Oval and Pavilion,1,4. Good,1 - 5 Years,YARRAC10967,3067,51 Years +,Road,"Umpire/Officials, Unisex",145.029131,-37.783779,17750,9071,ALPHINGTON,YARRA,Parkview
Synthetic Pitch,null,Cricket,Burnley Park Oval and O’Connell Pavilion,1,4. Good,1 - 5 Years,YARRAC10970,3121,0 - 5 Years,Grove,"Umpire/Officials, Unisex",145.014145,-37.826103,17754,9072,BURNLEY,YARRA,Park
null,576,Fitness / Gymnasium Workouts,Genesis Richmond,1,null,null,YARRAC11012,3121,null,Street,null,145.019798,-37.82723,17816,9111,RICHMOND,YARRA,Swan
Turf Pitch,null,Cricket,Citizen’s Park Oval and Jack Dyer Pavilion,1,2. Poor,11 + Years,YARRAC11007,3121,26 - 50 Years,Street,"Female, Male, Umpire/Officials",145.000351,-37.817218,17809,9073,RICHMOND,YARRA,Gleadell
Turf Pitch,null,Cricket,Corben Oval,1,2. Poor,11 + Years,YARRAC10964,3067,26 - 50 Years,Road,Male,145.007718,-37.795643,17746,9074,ABBOTSFORD,YARRA,Yarra Bend
Synthetic Pitch,null,Cricket,Fairfield Park Oval and Maxwell Sutherland Pavilion,1,2. Poor,6 - 10 Years,YARRAC10984,3078,26 - 50 Years,Road,"Male, Umpire/Officials",145.009954,-37.785738,17778,9075,FAIRFIELD,YARRA,Yarra Bend
Synthetic Pitch,null,Cricket,Fairlea Ovals,2,1. Very Poor,11 + Years,YARRAC10989,3078,26 - 50 Years,Road,Male,145.007718,-37.795643,17784,9076,FAIRFIELD,YARRA,Yarra Bend
Synthetic Pitch,null,Cricket,Fletcher 1 and 2 Soccer Pitches and Graham Pavilion,1,3. Average,11 + Years,YARRAC10971,3121,26 - 50 Years,Street,"Male, Umpire/Officials",145.020462,-37.828576,17756,9077,BURNLEY,YARRA,Swan
Turf Pitch,null,Cricket,Loughan Oval and Johnson Pavilion,1,3. Average,1 - 5 Years,YARRAC10972,3121,11 - 25 Years,Street,"Umpire/Officials, Unisex",145.020462,-37.828576,17759,9078,BURNLEY,YARRA,Swan
Turf Pitch,null,Cricket,Mc Cutcheon Oval,1,null,null,YARRAC11021,null,null,Road,null,145.008575,-37.799975,17828,9079,FAIRFIELD,YARRA,Yarra Bend
Synthetic Pitch,null,Cricket,Ramsden Street Oval and Pavilion,1,2. Poor,Upgrade in progress,YARRAC10985,3078,26 - 50 Years,Street,null,145.003111,-37.789873,17780,9080,FAIRFIELD,YARRA,Ramsden
Turf Pitch,null,Cricket,Sir Herbert Olney Oval,1,2. Poor,11 + Years,YARRAC10963,3067,26 - 50 Years,Road,"Male, Umpire/Officials",145.007718,-37.795643,17745,9081,ABBOTSFORD,YARRA,Yarra Bend
Synthetic Pitch,null,Cricket,W J COX,1,1. Very Poor,11 + Years,YARRAC11020,null,26 - 50 Years,Road,Male,145.008575,-37.799975,17827,9082,FAIRFIELD,YARRA,Yarra Bend
Synthetic Pitch,null,Cricket,W T Peterson Oval & Edinburgh Gardens Change Rooms,1,4. Good,1 - 5 Years,YARRAC10995,3065,51 Years +,Street,"Umpire/Officials, Unisex",144.982377,-37.78753,17793,9083,FITZROY,YARRA,Brunswick
Concrete Pitch,null,Cricket,Westfield Ovals,1,null,null,YARRAC10990,3078,null,Road,null,145.007718,-37.795643,17786,9084,FAIRFIELD,YARRA,Yarra Bend
Turf Pitch,null,Cricket,WT Long Oval,1,null,null,YARRAC10965,3067,null,Road,null,145.007718,-37.795643,17747,9085,ABBOTSFORD,YARRA,Yarra Bend
Road,null,Cycling,Kew Boulevard,1,null,null,YARRAC5306,null,null,Boulevard,null,145.01012,-37.806529,27554,9086,KEW,BOROONDARA,Kew
null,null,Cycling,Yarra Boulevard Loop,1,null,null,YARRAC5282,null,null,Boulevard,null,145.01513,-37.7937,27531,9087,RICHMOND,BOROONDARA,Yarra
null,41,Fitness / Gymnasium Workouts,All Seasons Personal Fitness,null,null,null,YARRAC11054,3121,null,Road,null,144.991239,-37.817479,17870,9088,RICHMOND,YARRA,Bridge
null,30,Fitness / Gymnasium Workouts,Andrew Baxter Body Concepts Studio,null,null,null,YARRAC11055,3121,null,Street,null,144.990736,-37.826115,17871,9089,RICHMOND,YARRA,Cremorne
null,738,Fitness / Gymnasium Workouts,Anytime Fitness Alphington,null,null,null,YARRAC11034,3067,null,Road,null,145.031394,-37.780993,17850,9090,ALPHINGTON,YARRA,Heidelberg
null,Aug-53,Fitness / Gymnasium Workouts,Anytime Fitness Richmond,null,null,null,YARRAC11056,3121,null,Street,null,145.003818,-37.820398,17872,9091,RICHMOND,YARRA,Coppin
null,405,Fitness / Gymnasium Workouts,Australian Institute of Fitness,1,null,null,YARRAC11019,3121,null,Street,null,144.998156,-37.824922,17826,9092,RICHMOND,YARRA,Church
null,474,Fitness / Gymnasium Workouts,Balance & Control Pilates Studio,null,null,null,YARRAC11057,3121,null,Street,null,145.007549,-37.811511,17873,9093,RICHMOND,YARRA,Victoria
null,null,Fitness / Gymnasium Workouts,Collingwood Housing Estate Gymnasium,1,3. Average,6 - 10 Years,YARRAC10981,3066,11 - 25 Years,Street,null,144.992863,-37.80287,17773,9094,COLLINGWOOD,YARRA,Hoddle
null,null,Fitness / Gymnasium Workouts,Collingwood Leisure Centre,1,5. Very Good,< 1 Years,YARRAC10979,3068,26 - 50 Years,Street,"Female, Male, Unisex",144.994351,-37.787996,17770,9095,CLIFTON HILL,YARRA,Turnbull
null,116,Fitness / Gymnasium Workouts,CrossFit Richmond,1,null,null,YARRAC11015,3121,null,Street,null,145.00958,-37.818162,17822,9096,RICHMOND,YARRA,Murphy
null,62,Fitness / Gymnasium Workouts,CrossFit Victoria,1,null,null,YARRAC11003,3065,null,Street,null,144.97753,-37.79594,17803,9097,FITZROY,YARRA,Rose
null,Feb-62,Fitness / Gymnasium Workouts,CrossFit Victoria,null,null,null,YARRAC11037,3065,null,Street,null,144.977608,-37.795964,17853,9098,FITZROY,YARRA,Rose
null,278,Fitness / Gymnasium Workouts,Curves North Fitzroy,null,null,null,YARRAC11050,3068,null,Road,null,144.985022,-37.78209,17866,9099,FITZROY NORTH,YARRA,St. Georges
null,193-197,Fitness / Gymnasium Workouts,Fernwood - Carlton,null,null,null,YARRAC11035,3053,null,Street,null,144.974952,-37.795584,17851,9100,CARLTON,MELBOURNE,Nicholson
null,197,Fitness / Gymnasium Workouts,Fernwood Carlton,1,null,null,YARRAC10975,3053,null,Street,null,144.975108,-37.795621,17763,9101,CARLTON,MELBOURNE,Nicholson
null,133,Fitness / Gymnasium Workouts,Fitness 24 Hours,null,null,null,YARRAC11046,3065,null,Street,null,144.979215,-37.79809,17862,9102,FITZROY,YARRA,Johnston
null,560,Fitness / Gymnasium Workouts,Fitness First,1,null,null,YARRAC11016,3121,null,Street,null,144.9964,-37.82937,17823,9103,RICHMOND,YARRA,Church
null,4,Fitness / Gymnasium Workouts,Fitness Live,null,null,null,YARRAC11059,3121,null,Street,null,145.002458,-37.820335,17875,9104,RICHMOND,YARRA,Stephenson
null,488,Fitness / Gymnasium Workouts,Fitness Ring Studio,null,null,null,YARRAC11066,3121,null,Street,null,144.994548,-37.809937,17882,9105,RICHMOND,YARRA,Victoria
null,null,Fitness / Gymnasium Workouts,fitness Xplosion,null,null,null,YARRAC11051,3068,null,Road,null,144.976277,-37.791351,17867,9106,FITZROY NORTH,YARRA,St. Georges
null,212,Fitness / Gymnasium Workouts,Fitnessland Gym,1,null,null,YARRAC10992,3078,null,Road,null,145.025109,-37.779009,17788,9107,FAIRFIELD,DAREBIN,Grange
null,358,Fitness / Gymnasium Workouts,FITROCk,1,null,null,YARRAC11017,3121,null,Street,null,144.988844,-37.824629,17824,9108,RICHMOND,YARRA,Swan
null,175,Fitness / Gymnasium Workouts,Fitzroy Pilates Studios,null,null,null,YARRAC11038,3065,null,Street,null,144.977592,-37.802202,17854,9109,FITZROY,YARRA,Brunswick
null,null,Fitness / Gymnasium Workouts,Fitzroy Swimming Pool,null,3. Average,6 - 10 Years,YARRAC10998,3065,26 - 50 Years,Parade,"Female, Male",144.9809,-37.7939,17797,9110,FITZROY,YARRA,Alexandra
null,41,Fitness / Gymnasium Workouts,Goodlife Health Club,null,null,null,YARRAC11039,3065,null,Street,null,145.119814,-37.973309,17855,9112,FITZROY,KINGSTON,Johnson
null,191,Fitness / Gymnasium Workouts,Healthy Fit,null,null,null,YARRAC11052,3068,null,Road,null,144.982525,-37.784533,17868,9113,FITZROY NORTH,YARRA,St. Georges
null,191,Fitness / Gymnasium Workouts,Healthy Fit,1,null,null,YARRAC11004,3065,null,Road,null,144.982525,-37.784533,17804,9114,FITZROY,YARRA,St Georges
null,41,Fitness / Gymnasium Workouts,Hunts Fitness Centre,null,null,null,YARRAC11040,3065,null,Street,null,144.975969,-37.79807,17856,9115,FITZROY,YARRA,Johnston
null,41,Fitness / Gymnasium Workouts,Hunts Squash & Fitness Centre,1,null,null,YARRAC11001,3065,null,Street,null,144.975969,-37.79807,17800,9116,FITZROY,YARRA,Johnston
null,107,Fitness / Gymnasium Workouts,Hurl's Fitness,1,null,null,YARRAC10980,3068,null,Parade,null,144.989794,-37.789497,17772,9117,CLIFTON HILL,YARRA,Queens
